,CAGR,Vol,Sharpe,MDD,Calmar,2008_MDD,2020_MDD,2022_MDD,CAGR_vs_IC,MDD_vs_IC,Sharpe_vs_IC
034. Hysteresis Sentiment Band,0.1602056411392203,0.18390364464374226,0.8711390220110663,-0.3009176163966494,0.5323903700209031,-0.3009176163966494,-0.17258010792060052,-0.22539840067545514,-0.03131402307375941,-0.04857998030722682,-0.11083664151360473
035. Liquidity Squeeze Inflation Rejector,0.17802687619849022,0.18719717017557605,0.9510126463531215,-0.3173836676863389,0.5609200923798922,-0.20097666627484076,-0.1725801079206007,-0.2181954604443234,-0.013492788014489498,-0.06504603159691635,-0.03096301717154948
036. Sentiment Momentum Concordance,0.16139221712548668,0.1772195394946835,0.9106908729459168,-0.2333417551368733,0.6916559662920914,-0.20097666627484,-0.1545900939020574,-0.1840416905666464,-0.030127447087493042,0.018995880952549254,-0.07128479057875425
037. Composite Growth Multiplier,0.13783808648740492,0.16459348345794306,0.8374455877083695,-0.29662564090775906,0.46468702457947014,-0.1989830622794561,-0.1050810613252542,-0.2273375494994317,-0.0536815777255748,-0.0442880048183365,-0.1445300758163015
038. Bullish Sentiment Divergence Scout,0.19172193544956673,0.19570871632399314,0.9796290070809808,-0.27749464718222855,0.6909031846068888,-0.19387410761395227,-0.17258010792060044,-0.2048225288165216,0.00020227123658700386,-0.025157011092805992,-0.0023466564436902537
039. Bearish Sentiment Exhaustion Warning,0.16756840217921654,0.17885129230209446,0.9369146849449642,-0.2523376360894235,0.6640642465233906,-0.20097666627483987,-0.13656405926838996,-0.18404169056664688,-0.023951262033763188,-9.43689570931383e-16,-0.04506097857970681
040. 5-Day Smoothed F&G Trigger,0.17090531458062963,0.18781123370442893,0.9099845158868118,-0.2788634129252419,0.612863884823952,-0.18600060189427292,-0.14680404062307453,-0.17151455400125615,-0.020614349632350093,-0.02652577683581936,-0.07199114763785919
041. VIX Spike Anti-Panic Gate,0.164289879888881,0.18815122284359387,0.8731799740969619,-0.3173836676863379,0.5176381037074801,-0.12651573911943478,-0.14680404062307426,-0.2181954604443221,-0.027229784324098727,-0.06504603159691535,-0.10879568942770912
042. Credit Spread Risk Gate,0.17583470608179996,0.18659797965507507,0.9423183809751267,-0.2523376360894231,0.6968231485670566,-0.20097666627483968,-0.17258010792060036,-0.1840416905666462,-0.01568495813117976,-5.551115123125783e-16,-0.03965728254954437
043. Safe Haven Inversion Detector,0.188326167938887,0.1926648378626814,0.9774807381983904,-0.24809283812014382,0.7590955440950148,-0.20097666627484007,-0.17258010792060052,-0.1840416905666466,-0.003193496274092711,0.004244797969278735,-0.004494925326280597
044. Channel x Sentiment Dual Gate,0.16567697738423304,0.1778756025090021,0.9314204705271387,-0.25233763608942256,0.6565686353878697,-0.20097666627483995,-0.14558083084462073,-0.18404169056664607,-0.025842686828746686,0.0,-0.050555192997532306
045. 200MA Neutral Buffer Sentiment Decider,0.1827586265786023,0.18433331955284923,0.9914573611647272,-0.2682520311417705,0.6812944744564297,-0.2682520311417705,-0.1725801079206004,-0.18404169056664602,-0.008761037634377411,-0.01591439505234793,0.00948169764005613
046. Bull Market Deep Dip Semiconductor Alpha,0.18857621200248165,0.1942241323014369,0.9709206048083168,-0.24930578063314102,0.7564052928238183,-0.20097666627484115,-0.17258010792060038,-0.18404169056664624,-0.0029434522104980765,0.0030318554562815403,-0.01105505871635426
047. Capitulation Bounce Harvester,0.17893349830451366,0.19763828430534974,0.9053584882778211,-0.2934851328554025,0.6096850513810271,-0.2531152277761024,-0.211170235697565,-0.22894784542908184,-0.012586165908466063,-0.04114749676597995,-0.07661717524684997
